Country,Opportunity_Organization_Name,End_Date,End_Month,Number_of_KG,Price_per_KG_(converted)_Currency,Price_per_KG_(converted),Total_Sales_(converted)_Currency,Total_Sales_(converted),Component_Metrics:_ID
Guinea Bissau,CONGAI,5/6/2022,(06) JUN 2022,50878,USD,0.81,USD,41211.44,a1Rt0000005TH5m
Guinea Bissau,CONGAI,5/6/2022,(06) JUN 2022,60340,USD,0.81,USD,48875.71,a1Rt0000005TH5q
Guinea Bissau,CONGAI,5/6/2022,(06) JUN 2022,56457,USD,0.81,USD,45730.46,a1Rt0000005TH5r
Guinea Bissau,CONGAI,7/6/2022,(06) JUN 2022,66780,USD,0.81,USD,54092.14,a1Rt0000005TH5v
Guinea Bissau,CONGAI,4/6/2022,(06) JUN 2022,40780,USD,0.81,USD,33032.01,a1Rt0000005TH60
Guinea Bissau,CONGAI,4/6/2022,(06) JUN 2022,37679,USD,0.81,USD,30520.18,a1Rt0000005TH61
Guinea Bissau,CONGAI,5/6/2022,(06) JUN 2022,49752,USD,0.81,USD,40299.38,a1Rt0000005TH65
Guinea Bissau,CONGAI,6/6/2022,(06) JUN 2022,57988,USD,0.81,USD,46970.58,a1Rt0000005TH6A
Gambia,FBCFCS - FONI,7/6/2022,(06) JUN 2022,313.9,USD,1.21,USD,379.86,a1Rt0000005TH6K
Guinea Bissau,WAQUILARE,23/05/2022,(05) MAY 2022,10000,USD,0.81,USD,8100.05,a1Rt0000005TH9z
Guinea Bissau,WAQUILARE,23/05/2022,(05) MAY 2022,10000,USD,0.81,USD,8100.05,a1Rt0000005THA0
Guinea Bissau,WAQUILARE,25/05/2022,(05) MAY 2022,29750,USD,0.9,USD,26775.17,a1Rt0000005THA2
Guinea Bissau,LAMPADA DE CAMPO,6/6/2022,(06) JUN 2022,50065,USD,0.9,USD,45058.79,a1Rt0000005THB6
Guinea Bissau,LAMPADA DE CAMPO,8/6/2022,(06) JUN 2022,60010,USD,0.9,USD,54009.34,a1Rt0000005THBB
Gambia,KWCFCS - KIANG,28/05/2022,(05) MAY 2022,2311,USD,1.13,USD,2616.19,a1Rt0000005THBk
Guinea Bissau,WAQUILARE,28/05/2022,(05) MAY 2022,27225.53,USD,0.81,USD,22052.82,a1Rt0000005THCT
Gambia,KCFCS - KOMBO,31/05/2022,(05) MAY 2022,149.95,USD,1.27,USD,190.24,a1Rt0000005THCd
Gambia,KCFCS - KOMBO,30/04/2022,(04) APR 2022,148218,USD,1.27,USD,188042.63,a1Rt0000005THCe
Guinea Bissau,LAMPADA DE CAMPO,9/6/2022,(06) JUN 2022,75055,USD,0.9,USD,67549.93,a1Rt0000005THD2
Guinea Bissau,LAMPADA DE CAMPO,9/6/2022,(06) JUN 2022,40035,USD,0.9,USD,36031.73,a1Rt0000005THD7
Senegal,FAMVI,14/04/2022,(04) APR 2022,12783,USD,0.54,USD,6902.86,a1Rt0000005THEj
Senegal,FAMVI,21/04/2022,(04) APR 2022,9345,USD,0.63,USD,5887.39,a1Rt0000005THEk
Senegal,FAMVI,10/5/2022,(05) MAY 2022,17045,USD,0.99,USD,16874.66,a1Rt0000005THEm
Senegal,FAMVI,20/05/2022,(05) MAY 2022,13056,USD,1.17,USD,15275.62,a1Rt0000005THEn
Senegal,FAMVI,20/05/2022,(05) MAY 2022,21568,USD,1.26,USD,27175.85,a1Rt0000005THEo
Senegal,FAMVI,25/05/2022,(05) MAY 2022,7684,USD,1.08,USD,8298.77,a1Rt0000005THEp
Senegal,FAMVI,25/05/2022,(05) MAY 2022,12579,USD,0.99,USD,12453.29,a1Rt0000005THEq
Senegal,FAMVI,14/05/2022,(05) MAY 2022,18500,USD,1.26,USD,23310.15,a1Rt0000005THEr
Senegal,FAMVI,16/05/2022,(05) MAY 2022,17950,USD,1.26,USD,22617.14,a1Rt0000005THEs
Senegal,FAMVI,20/05/2022,(05) MAY 2022,20030,USD,1.17,USD,23435.25,a1Rt0000005THEt
Senegal,FAMVI,22/05/2022,(05) MAY 2022,58390,USD,0.99,USD,57806.47,a1Rt0000005THEu
Senegal,FAMVI,26/05/2022,(05) MAY 2022,49108,USD,0.99,USD,48617.23,a1Rt0000005THEv
Senegal,FAMVI,27/05/2022,(05) MAY 2022,40320,USD,1.04,USD,41731.46,a1Rt0000005THEw
Senegal,FAMVI,2/6/2022,(06) JUN 2022,19567,USD,1.08,USD,21132.49,a1Rt0000005THEx
Senegal,FAMVI,2/6/2022,(06) JUN 2022,34838,USD,0.99,USD,34489.84,a1Rt0000005THEy
Senegal,FAMVI,2/6/2022,(06) JUN 2022,35831,USD,0.9,USD,32248.1,a1Rt0000005THEz
Guinea Bissau,AGRO-BIGENE COOABI,31/05/2022,(05) MAY 2022,9200,USD,0.9,USD,8280.05,a1Rt0000005THFC
Guinea Bissau,AGRO-BIGENE COOABI,31/05/2022,(05) MAY 2022,13600,USD,0.9,USD,12240.08,a1Rt0000005THFH
Guinea Bissau,AGRO-BIGENE COOABI,31/05/2022,(05) MAY 2022,7350,USD,0.9,USD,6615.04,a1Rt0000005THFM
Guinea Bissau,AGRO-BIGENE COOABI,31/05/2022,(05) MAY 2022,15700,USD,0.9,USD,14130.09,a1Rt0000005THFR
Guinea Bissau,BUWONDENA,6/6/2022,(06) JUN 2022,9969,USD,0.9,USD,8972.16,a1Rt0000005THFW
Guinea Bissau,BUWONDENA,8/6/2022,(06) JUN 2022,10650,USD,0.9,USD,9585.06,a1Rt0000005THFb
Guinea Bissau,BUWONDENA,8/6/2022,(06) JUN 2022,10650,USD,0.9,USD,9585.06,a1Rt0000005THFg
Guinea Bissau,AGRO-BIGENE COOABI,4/6/2022,(06) JUN 2022,6300,USD,0.9,USD,5670.04,a1Rt0000005THFl
Guinea Bissau,AGRO-BIGENE COOABI,4/6/2022,(06) JUN 2022,11500,USD,0.9,USD,10350.07,a1Rt0000005THFq
Guinea Bissau,AGRO-BIGENE COOABI,4/6/2022,(06) JUN 2022,9150,USD,0.9,USD,8235.05,a1Rt0000005THG0
Guinea Bissau,AGRO-BIGENE COOABI,4/6/2022,(06) JUN 2022,14600,USD,0.9,USD,13140.08,a1Rt0000005THG5
Gambia,KWCFCS - KIANG,28/05/2022,(05) MAY 2022,1212.5,USD,1.17,USD,1419.96,a1Rt0000005THGU
Gambia,KWCFCS - KIANG,29/05/2022,(05) MAY 2022,1491,USD,1.17,USD,1746.11,a1Rt0000005THGZ
Guinea Bissau,BALANTA CUNDA,1/6/2022,(06) JUN 2022,20316,USD,0.9,USD,18284.52,a1Rt0000005THHh
Guinea Bissau,BALANTA CUNDA,2/6/2022,(06) JUN 2022,24823,USD,0.9,USD,22340.84,a1Rt0000005THHm
Guinea Bissau,BALANTA CUNDA,3/6/2022,(06) JUN 2022,22988,USD,0.9,USD,20689.33,a1Rt0000005THHr
Guinea Bissau,BALANTA CUNDA,4/6/2022,(06) JUN 2022,28960,USD,0.9,USD,26064.16,a1Rt0000005THHw
Guinea Bissau,BALANTA CUNDA,5/6/2022,(06) JUN 2022,29564,USD,0.9,USD,26607.77,a1Rt0000005THI1
Guinea Bissau,BALANTA CUNDA,6/6/2022,(06) JUN 2022,18746,USD,0.9,USD,16871.51,a1Rt0000005THI6
Guinea Bissau,AGRO-BIGENE COOABI,6/6/2022,(06) JUN 2022,10600,USD,0.9,USD,9540.06,a1Rt0000005THIB
Guinea Bissau,AGRO-BIGENE COOABI,6/6/2022,(06) JUN 2022,9150,USD,0.9,USD,8235.05,a1Rt0000005THIG
Guinea Bissau,AGRO-BIGENE COOABI,6/6/2022,(06) JUN 2022,9500,USD,0.9,USD,8550.05,a1Rt0000005THIL
Guinea Bissau,AGRO-BIGENE COOABI,6/6/2022,(06) JUN 2022,12000,USD,0.9,USD,10800.07,a1Rt0000005THIQ
Gambia,FBCFCS - FONI,2/6/2022,(06) JUN 2022,282.2,USD,1.21,USD,341.5,a1Rt0000005THIk
Gambia,FBCFCS - FONI,8/6/2022,(06) JUN 2022,258.6,USD,1.21,USD,312.94,a1Rt0000005THIp
Gambia,FBCFCS - FONI,28/05/2022,(05) MAY 2022,300,USD,1.21,USD,363.04,a1Rt0000005THIu
